question ids,question,id
Q0247,Looking for a dashboard mount mainly for commuting. It needs 360-degree rotation and strong suction base; I’d also like it in Black. Which products fit?,"165,166"
Q0248,"I have about $23 max for dashboard mount. The important parts are 360-degree rotation and strong suction base, mostly for commuting. Which product should I look at?",165
Q0249,Which dashboard mount priced in the $24-$29 range is best for commuting if 360-degree rotation and strong suction base matter?,166
Q0250,Do you have a detailing kit suitable for interior cleaning that includes wheel brush and drying towels? In the 24-piece size would be ideal.,"167,168"
Q0251,"Trying to keep this purchase under $32. I need a detailing kit for interior cleaning, preferably with wheel brush and drying towels.",167
Q0252,My budget for detailing kit is roughly $33 to $44. It needs to work for interior cleaning and have wheel brush. What's the closest fit?,168
Q0253,"I'm shopping for a car audio adapter for older cars/music streaming. Must-have features are Bluetooth calling and FM playback, and I want a variant in Black. Any good matches?","169,170"
Q0254,"Looking for a budget option: a car audio adapter for older cars, ideally with Bluetooth calling, and under $35. Which one fits?",169
Q0255,I'm comparing car audio adapter options and want the one in the $36-$48 bracket with Bluetooth calling and FM playback. Which is it?,170
Q0256,"Can you show me a car organizer that works well for tools, has removable dividers, and also offers collapsible design? I prefer it in the Large size.","171,172"
Q0257,What's a budget-friendly option for car organizer under $34 that works for tools and has removable dividers?,171
Q0258,"I'm not looking for the cheapest option. Show me an option for car organizer around $35-$45 with removable dividers, mainly for tools.",172
Q0259,"Need something for UV protection: a car sunshade, universal windshield fit, foldable design. Bonus if I can get it in the XL size. What are my options?","173,174"
Q0260,Do you have a car sunshade with universal windshield fit that stays below $22? I'll mainly use it for UV protection.,173
Q0261,Looking for the higher-end option for car sunshade for UV protection; I’m comfortable paying $23-$30 and want universal windshield fit plus foldable design.,174
Q0262,"Which diagnostic scanner would fit someone using it for vehicle diagnostics and maintenance, especially with color display plus code clearing? I'd choose one in Black.","175,176"
Q0263,Can I get a diagnostic scanner for vehicle diagnostics with color display for no more than $36? code clearing would be useful too.,175
Q0264,Recommend an option for diagnostic scanner for vehicle diagnostics in the $37-$54 price band. color display is a must and code clearing would be great.,176
Q0265,"I’m trying to find a seat organizer with cup holder for keys. dual storage slots matters too, and I’d like the in Navy version.","177,178"
Q0266,"Need a seat organizer for keys, but my ceiling is $36. I still want cup holder and dual storage slots. Any match?",177
Q0267,"For seat organizer, I can go up to about $46 but want to spend at least $37 for the nicer version. It should have cup holder and dual storage slots.",178
Q0268,"Any vehicle safety kit for vehicle preparedness that checks these boxes: reflective triangle, first-aid essentials, and availability in Silver?","179,180"
Q0269,Find me a vehicle safety kit under $36 for vehicle preparedness; reflective triangle is non-negotiable and first-aid essentials is preferred.,179
Q0270,"I’d rather get the upgraded option for vehicle safety kit. Budget is $37-$51, and I need reflective triangle for vehicle preparedness. Which product matches?",180
Q0271,"I need a high chair for feeding and toddlers. I care about five-point harness and adjustable height, preferably in White. What matches?","181,182"
Q0272,"My budget is under $110. I need a high chair for feeding, with five-point harness and adjustable height. What is the best match?",181
Q0273,I can spend around $111-$142 on a high chair for feeding. I want five-point harness and adjustable height. Which one falls in that range?,182
Q0274,"What would you recommend for stroller cover if I want baby blankets with soft finish, four breathable cotton muslin blankets, and an option in the 47x47 in size?","183,184"
Q0275,I don't want to spend over $29 on baby blankets. It should handle stroller cover and include soft finish. What do you have?,183
Q0276,Need the more premium option for baby blankets for stroller cover. Target budget $30-$37; must include soft finish. What fits?,184
Q0277,Looking for a baby monitor mainly for overnight monitoring. It needs 5-inch display and two-way audio; I’d also like it with a 4.3 in screen. Which products fit?,"185,186"
Q0278,"I have about $84 max for baby monitor. The important parts are 5-inch display and two-way audio, mostly for overnight monitoring. Which product should I look at?",185
Q0279,Which baby monitor priced in the $85-$111 range is best for overnight monitoring if 5-inch display and two-way audio matter?,186
Q0280,Do you have a feeding set suitable for baby-led weaning that includes divided plate and soft-tip spoon? Made from Food-grade silicone would be ideal.,"187,188"
Q0281,"Trying to keep this purchase under $30. I need a feeding set for baby-led weaning, preferably with divided plate and soft-tip spoon.",187
Q0282,My budget for feeding set is roughly $31 to $39. It needs to work for baby-led weaning and have divided plate. What's the closest fit?,188
Q0283,"I'm shopping for a baby play mat for playrooms/crawling. Must-have features are reversible design and thick foam padding, and I want a variant in the 4x6 ft size. Any good matches?","189,190"
Q0284,"Looking for a budget option: a baby play mat for playrooms, ideally with reversible design, and under $47. Which one fits?",189
Q0285,I'm comparing baby play mat options and want the one in the $48-$64 bracket with reversible design and thick foam padding. Which is it?,190
Q0286,"Can you show me a step stool that works well for potty training, has carry handle, and also offers wide platform? I prefer it in Silver.","191,192"
Q0287,What's a budget-friendly option for step stool under $36 that works for potty training and has carry handle?,191
Q0288,"I'm not looking for the cheapest option. Show me an option for step stool around $37-$47 with carry handle, mainly for potty training.",192
Q0289,"Need something for night feeds: a baby bottle warmer, multiple warming modes, auto shutoff. Bonus if I can get it in Black. What are my options?","193,194"
Q0290,Do you have a baby bottle warmer with multiple warming modes that stays below $37? I'll mainly use it for night feeds.,193
Q0291,Looking for the higher-end option for baby bottle warmer for night feeds; I’m comfortable paying $38-$48 and want multiple warming modes plus auto shutoff.,194
Q0292,"Which diaper bag would fit someone using it for travel and daily outings, especially with changing pad plus wide-opening main compartment? I'd choose one in Navy.","195,196"
Q0293,Can I get a diaper bag for travel with changing pad for no more than $51? wide-opening main compartment would be useful too.,195
Q0294,Recommend an option for diaper bag for travel in the $52-$68 price band. changing pad is a must and wide-opening main compartment would be great.,196
Q0295,"I’m trying to find a bath support with quick-dry material for small tubs. anti-slip base matters too, and I’d like the in the Newborn size version.","197,198"
Q0296,"Need a bath support for small tubs, but my ceiling is $31. I still want quick-dry material and anti-slip base. Any match?",197
Q0297,"For bath support, I can go up to about $39 but want to spend at least $32 for the nicer version. It should have quick-dry material and anti-slip base.",198
Q0298,"Any toddler bike for balance training that checks these boxes: lightweight frame, puncture-free tires, and availability in Black?","199,200"
Q0299,Find me a toddler bike under $37 for balance training; lightweight frame is non-negotiable and puncture-free tires is preferred.,199
Q0300,"I’d rather get the upgraded option for toddler bike. Budget is $38-$48, and I need lightweight frame for balance training. Which product matches?",200
